id;titre;description;remuneration;date_publication;image_path
1;foot corny phooey;summarise vastly;19637.02;2025-07-29T11:18:56;for mortar
2;nor loudly;lampoon slump;23029.5;2025-07-28T23:30:45;till blah goat
3;punctually hastily hovercraft;wherever indolent;31575.96;2025-07-29T09:20:40;generally aboard
4;whoever boom spice;tank round;1148.36;2025-07-29T16:30:00;spiffy so meh
5;pfft whose lovable;why unless handful;528.72;2025-07-29T09:11:27;whether
6;airport jealous academics;huzzah regarding longingly;26101.24;2025-07-29T09:41:37;as victorious before
7;after;sure-footed nippy unethically;2049.37;2025-07-29T09:14:25;because colorfully
8;optimistically which reborn;why amazing midwife;3981.54;2025-07-29T16:15:52;hmph
9;although off how;circa;10783.26;2025-07-29T13:07:09;woot after
10;wordy even;beneath terrorise over;2833.79;2025-07-29T15:46:59;toward exonerate
